package,fedora_patch,debian_patch,type,fedora_time,debian_time
xosd,xosd-2.2.14-Do-not-install-some-manual-pages-twice.patch,54_fix_man_makefile.diff,common,2013-03-27 17:30:02+01:00,2024-09-22 21:47:05+02:00
nuget,nuget-fix_xdt_hintpath,fix_xdt_hintpath,common,2015-07-15 16:47:04-03:00,2015-06-29 11:07:35+01:00
cppunit,run-tests-in-deterministic-order.patch,run-tests-in-deterministic-order.diff,common,2023-08-24 08:51:48+02:00,2021-10-21 21:44:32+02:00
saclib,saclib-attr.patch,saclib-attr.patch,common,2014-02-10 13:51:39-07:00,2020-07-31 07:32:14-04:00
yagf,yagf-0.9.5-nothreads.patch,13_disable-extra-threads.patch,common,2017-03-22 10:09:44+07:00,2020-03-09 23:24:51+03:00
ldapvi,ldapvi-1.7-getline.patch,05_getline-conflict,common,2009-09-19 20:03:44+00:00,
libtheora,libtheora-1.1.1-libpng16.patch,0006-libpng16.patch,common,2013-08-03 12:19:27+01:00,2016-02-07 10:38:58+00:00
libtheora,libtheora-1.1.1-libm.patch,0004-player-example-needs-lm-for-rint.patch,common,2014-06-09 10:53:42-04:00,2014-11-10 17:04:55+01:00
anjuta,webkit-4.1.patch,webkit-4.1.patch,common,2022-09-01 11:53:50-05:00,2022-08-31 22:14:25-04:00
prelude-lml,prelude-lml-5.2.0-fix-test_rwlock1.patch,003-fix-test_rwlock1.patch,common,2019-11-10 13:44:15+01:00,2019-10-11 19:03:11-04:00
prelude-lml,prelude-lml-5.2.0-fix_thread_create.patch,004-fix_thread_create.patch,common,2019-11-10 13:44:15+01:00,2019-10-11 19:03:11-04:00
dbus-c++,dbus-c++-macro_collision.patch,05_fix_glibmm_ftbfs.patch,common,2015-03-05 23:49:00+01:00,2022-04-20 18:56:42-04:00
dbus-c++,dbus-c++-gcc4.7.patch,03_add_unistd_header.patch,common,2013-12-17 17:30:25+01:00,2022-04-20 18:56:13-04:00
dbus-c++,dbus-c++-template-operators.patch,08_fix_gcc-12.patch,common,2022-03-23 18:57:04+01:00,2022-07-26 14:38:26+02:00
scorched3d,scorched3d-freetype-buildfix.patch,0006-fix-freetype-includes.patch,common,2014-08-30 09:48:41+02:00,2013-12-30 22:05:37+02:00
scorched3d,scorched3d-lua54.patch,lua-5.4.patch,common,2020-08-13 22:19:10+02:00,2020-08-30 15:20:16+02:00
scorched3d,scorched3d-fix-hang-on-fast-machines.patch,fix-hang-on-fast-machines.patch,common,2020-08-13 22:19:10+02:00,2020-08-30 08:55:07+02:00
scorched3d,scorched3d-returntype.patch,gcc-6-ftbfs.patch,common,2016-02-13 23:04:57-06:00,2016-07-16 00:37:50+02:00
scorched3d,scorched3d-wx3.0.patch,wx3.0-compat.patch,common,2018-10-30 20:47:44-04:00,2016-07-15 18:02:06+02:00
mtx,mtx-1.3.12-destdir.patch,004-fix-destdir,common,2009-11-19 16:20:32+00:00,2019-02-28 11:53:18+01:00
mtx,mtx-1.3.12-argc.patch,005-remove-argc-output,common,2009-11-19 16:20:32+00:00,2019-02-28 11:53:18+01:00
warmux,warmux-zlib.patch,05_fix_build_libpng15.patch,common,2012-02-27 14:59:36+01:00,2012-03-10 16:42:52+01:00
warmux,warmux-gcc60.patch,10_fix_build_gcc60.patch,common,2016-03-10 09:56:04-06:00,2016-07-01 17:46:26+02:00
python-uinput,python-uinput-add_python311_support.patch,python3_11_compat.patch,common,2022-12-08 12:05:44+01:00,2022-11-13 11:40:29+01:00
tse3,tse3-size_t-64bit.patch,337820_ftbfs_s390.patch,common,2009-01-27 00:55:07+00:00,2024-04-28 22:38:04+02:00
tse3,tse3-gcc43.patch,466899_ftbfs_gcc43.patch,similar,2009-01-27 00:55:07+00:00,2024-04-28 22:38:04+02:00
unzip,unzip-6.0-cve-2014-8141.patch,11-cve-2014-8141-getzip64data.patch,common,2015-02-10 21:26:05+01:00,2014-12-22 19:16:10+01:00
unzip,unzip-zipbomb-part5.patch,26-cve-2019-13232-fix-bug-in-uzinflate.patch,common,2021-04-28 16:03:51+02:00,2021-01-10 15:34:00+01:00
unzip,unzip-zipbomb-part3.patch,24-cve-2019-13232-do-not-raise-alert-for-misplaced-central-directory.patch,common,2019-10-23 15:35:14+02:00,2019-07-27 18:01:36+02:00
unzip,unzip-zipbomb-part1.patch,22-cve-2019-13232-fix-bug-in-undefer-input.patch,common,2019-10-23 15:35:14+02:00,2019-07-11 18:03:34+02:00
unzip,unzip-6.0-symlink.patch,06-initialize-the-symlink-flag.patch,common,2013-11-19 13:18:32+01:00,2013-10-14 18:48:40+02:00
unzip,unzip-6.0-cve-2014-8140.patch,10-cve-2014-8140-test-compr-eb.patch,common,2015-02-10 21:26:05+01:00,2014-12-22 19:16:10+01:00
unzip,unzip-zipbomb-part4.patch,25-cve-2019-13232-fix-bug-in-uzbunzip2.patch,common,2021-03-25 13:47:57+01:00,2021-01-10 15:34:00+01:00
unzip,unzip-zipbomb-part2.patch,23-cve-2019-13232-zip-bomb-with-overlapped-entries.patch,common,2019-10-23 15:35:14+02:00,2019-07-11 18:03:34+02:00
unzip,0001-Fix-CVE-2016-9844-rhbz-1404283.patch,19-cve-2016-9844-zipinfo-buffer-overflow.patch,common,2016-12-14 16:59:00+01:00,2016-12-11 21:03:30+01:00
unzip,unzip-6.0-timestamp.patch,17-restore-unix-timestamps-accurately.patch,common,2017-07-14 17:36:50+02:00,2016-12-11 21:03:30+01:00
unzip,unzip-6.0-overflow-long-fsize.patch,18-cve-2014-9913-unzip-buffer-overflow.patch,similar,2015-02-10 21:26:05+01:00,2016-12-11 21:03:30+01:00
uget,uget-2.2.3-gcc10-fno-common.patch,support_gcc10_compilation.patch,common,2020-01-23 16:36:58+09:00,2020-08-02 16:32:54-05:00
gcal,gcal-glibc-no-libio.patch,glibc2.28.patch,similar,2018-08-03 17:54:10+02:00,2019-01-04 19:56:51+01:00
gnome-2048,0001-meson-drop-unused-argument-for-i18n.merge_file.patch,meson-drop-unused-argument-for-i18n.merge_file.patch,common,2022-07-21 11:01:45+03:00,2022-03-21 14:21:43-04:00
