package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
gnome-shell-extension-gamemode,0,0,0,0,0,0
golang-github-kr-binarydist,0,0,0,0,0,0
lxinput,0,0,0,0,0,0
atlas,1,0,15,10,1,26
jcal,0,0,0,3,1,3
capstats,0,0,1,0,1,1
xclip,0,0,1,7,1,8
aspell-hi,0,0,0,0,0,0
guilt,1,0,3,9,1,13
python-nudatus,0,0,0,0,0,0
libuinputplus,0,0,1,0,1,1
eterm,1,0,4,7,1,12
rust-humantime,0,0,0,0,0,0
ecdsautils,0,0,0,1,1,1
swayidle,0,0,0,1,1,1
range-v3,0,0,0,1,1,1
uhubctl,0,0,0,1,1,1
fuse-emulator-utils,0,0,0,1,1,1
dumpet,0,0,1,2,1,3
ifuse,0,0,0,0,0,0
golang-github-gorilla-css,0,0,0,0,0,0
golang-github-gorilla-securecookie,0,0,0,0,0,0
libmusicbrainz5,0,0,3,2,1,5
httpcomponents-client,0,0,3,4,1,7
rust-libudev-sys,0,0,0,0,0,0
cdlabelgen,0,0,0,1,1,1
distribution-gpg-keys,0,0,0,0,0,0
python-cymruwhois,0,0,0,2,1,2
golang-github-agnivade-levenshtein,0,0,1,1,1,2
python-xstatic-filesaver,0,0,0,0,0,0
blobwars,0,0,2,3,1,5
opusfile,1,0,0,0,1,1
rust-zbase32,0,0,0,0,0,0
globus-gridmap-eppn-callout,0,0,0,0,0,0
steghide,0,1,5,6,1,12
sword,0,0,2,6,1,8
rust-error-chain,0,0,0,0,0,0
rust-temptree,0,0,0,0,0,0
libgnomecanvas,0,0,0,5,1,5
python-anyjson,2,0,2,1,1,5
libotr,1,0,1,3,1,5
libxdg-basedir,1,0,3,0,1,4
id3v2,0,0,0,7,1,7
metapixel,1,0,3,3,1,7
golang-github-knetic-govaluate,0,0,0,1,1,1
infinipath-psm,0,0,8,4,1,12
libhbaapi,0,0,2,0,1,2
python-kdcproxy,0,0,1,0,1,1
sparsehash,0,0,0,1,1,1
tcpreen,0,0,0,1,1,1
maloc,0,0,1,2,1,3
purple-mm-sms,0,0,1,1,1,2
rust-doc-comment,0,0,0,0,0,0
acpi,0,0,0,0,0,0
ssss,0,0,0,4,1,4
kst,0,1,3,8,1,12
python-systemd,0,0,0,0,0,0
seahorse-nautilus,0,0,1,2,1,3
gnome-packagekit,0,0,0,1,1,1
rust-minimal-lexical,0,0,0,0,0,0
6tunnel,0,0,1,0,1,1
libcli,0,0,1,1,1,2
python-graphviz,0,0,0,0,0,0
python-respx,0,0,0,2,1,2
taglib-sharp,0,0,0,2,1,2
grhino,1,0,0,1,1,2
python-adal,0,0,1,1,1,2
python-xstatic-roboto-fontface,0,0,0,1,1,1
python-parsel,0,0,0,1,1,1
python-xstatic-json2yaml,0,0,0,0,0,0
sl,0,0,0,2,1,2
disruptor,0,0,0,0,0,0
rust-bencher,0,0,0,0,0,0
vim-pathogen,0,0,0,0,0,0
python-pkgconfig,0,0,0,0,0,0
toilet,0,0,0,2,1,2
swing-layout,0,0,2,0,1,2
taskd,0,0,0,6,1,6
golang-github-blang-semver,0,0,0,0,0,0
ypserv,0,0,12,1,1,13
cctz,0,0,0,3,1,3
syncevolution,0,0,4,2,1,6
bodr,0,0,0,0,0,0
foremost,0,0,4,9,1,13
emacs-python-environment,0,0,0,2,1,2
judy,1,0,2,3,1,6
krename,0,0,0,0,0,0
python-bottle-sqlite,0,0,0,0,0,0
docbook-utils,0,0,9,8,1,17
golang-github-hexops-gotextdiff,0,0,0,0,0,0
libmms,0,0,8,1,1,9
kexi,2,0,6,0,1,8
python-geoip,0,0,0,1,1,1
abcde,0,0,1,0,1,1
cdw,1,0,0,1,1,2
switcheroo-control,0,0,0,0,0,0
ocaml-astring,0,0,1,0,1,1
shc,0,0,0,1,1,1
golang-github-gorilla-handlers,0,0,0,1,1,1
libinstpatch,0,0,1,0,1,1
writerperfect,0,0,2,0,1,2
libptytty,0,0,1,0,1,1
python-h11,0,0,0,0,0,0
golang-github-bep-goat,0,0,0,0,0,0
golang-github-containernetworking-plugins,0,0,0,2,1,2
librist,0,0,1,1,1,2
catatonit,0,0,0,1,1,1
python-aiohttp-oauthlib,0,0,0,0,0,0
zile,0,0,0,3,1,3
clusterssh,0,0,0,5,1,5
smbldap-tools,0,0,2,2,1,4
nyancat,0,0,2,1,1,3
fcitx-hangul,0,0,0,0,0,0
libkkc-data,0,0,0,1,1,1
libsmbios,0,0,0,0,0,0
arc-kde,0,0,1,4,1,5
ocaml-curses,0,0,0,0,0,0
moon-buggy,0,0,2,2,1,4
drawing,0,0,0,0,0,0
flex,0,0,1,0,1,1
springlobby,0,0,0,0,0,0
globus-callout,0,0,0,0,0,0
php-masterminds-html5,0,0,0,3,1,3
libsmi,0,0,10,6,1,16
jumpnbump,0,0,1,7,1,8
pdsh,0,0,0,1,1,1
serialdv,0,0,0,1,1,1
antiword,3,0,1,2,1,6
fusioninventory-agent,0,0,0,2,1,2
libwebcam,0,0,0,1,1,1
dcm2niix,0,0,1,1,1,2
rust-thousands,0,0,0,0,0,0
python-untangle,0,0,0,1,1,1
wordgrinder,0,0,0,2,1,2
libfakekey,0,0,0,1,1,1
rtmidi,0,0,0,1,1,1
golang-github-seandolphin-bqschema,0,0,0,0,0,0
libx86emu,0,0,0,1,1,1
python-click-repl,0,0,0,0,0,0
php-fig-http-message-util,0,0,0,0,0,0
libexif,0,0,0,0,0,0
golang-github-opencontainers-runtime-tools,0,0,0,0,0,0
quassel,0,0,0,2,1,2
liblockfile,0,0,0,0,0,0
yp-tools,0,0,6,3,1,9
bitlbee-facebook,0,0,0,0,0,0
python-dirq,0,0,1,1,1,2
john,0,0,0,5,1,5
libclaw,1,0,4,4,1,9
python-datrie,1,0,1,1,1,3
libuninum,0,0,2,2,1,4
rust-sequoia-openpgp-mt,0,0,1,2,1,3
python-fs,0,0,1,0,1,1
ocaml-result,0,0,0,0,0,0
openzwave,0,0,0,3,1,3
golang-github-lunixbochs-vtclean,0,0,0,0,0,0
rust-expat-sys,0,0,0,1,1,1
cpmtools,0,0,2,1,1,3
libusbauth-configparser,0,0,0,0,0,0
asylum,0,0,1,5,1,6
convmv,0,0,1,1,1,2
erlang-lager,0,0,7,1,1,8
gliv,0,0,1,2,1,3
golang-github-shopspring-decimal,0,0,0,0,0,0
python-roundrobin,0,0,0,0,0,0
globus-gram-job-manager-pbs,0,0,0,0,0,0
libsignal-protocol-c,1,0,0,1,1,2
ssdeep,0,0,0,0,0,0
gperf,0,0,0,1,1,1
unifdef,0,0,0,0,0,0
ucarp,0,0,1,2,1,3
cpp-hocon,0,0,0,1,1,1
aircrack-ng,0,0,0,1,1,1
vagrant-sshfs,0,0,0,1,1,1
python-csscompressor,0,0,0,0,0,0
xmakemol,3,0,4,0,1,7
anyremote,0,0,0,1,1,1
bgpq3,0,0,1,2,1,3
evtest,0,0,0,0,0,0
vim-airline,0,0,0,0,0,0
erlang-base64url,0,0,0,0,0,0
mussh,0,0,0,1,1,1
meterbridge,0,0,1,6,1,7
hevea,0,0,0,1,1,1
tworld,0,0,0,3,1,3
thunar-volman,0,0,0,0,0,0
bitstream,0,0,0,0,0,0
ncrack,0,0,1,3,1,4
usbredir,0,0,0,0,0,0
sailcut,1,0,0,0,1,1
usermode,0,0,0,1,1,1
golang-github-djherbis-atime,0,0,0,0,0,0
globus-xio-gridftp-driver,0,0,0,0,0,0
rsnapshot,0,0,0,5,1,5
git2cl,0,0,0,0,0,0
soundmodem,0,0,5,8,1,13
pyee,0,0,1,0,1,1
simple-ccsm,0,0,0,0,0,0
python-extras,0,0,0,0,0,0
ri-li,1,0,3,4,1,8
tcputils,0,0,1,5,1,6
flpsed,0,0,0,4,1,4
gnome-robots,0,0,0,0,0,0
otf2bdf,0,0,1,3,1,4
php-league-flysystem,0,0,0,1,1,1
ocamlmod,0,1,2,0,1,3
rust-matchers,0,0,0,0,0,0
python-jmespath,0,0,0,0,0,0
xdg-user-dirs,0,0,0,0,0,0
libgdiplus,0,0,0,0,0,0
python-murano-pkg-check,0,0,3,2,1,5
xdms,1,0,0,1,1,2
icedtea-web,1,0,2,7,1,10
gnome-browser-connector,0,0,0,0,0,0
rmtfs,0,0,0,0,0,0
pal,0,0,1,11,1,12
liberasurecode,0,0,2,0,1,2
python-gammu,0,0,0,0,0,0
rust-hash32,0,0,0,0,0,0
kcc,0,0,5,7,1,12
fcitx5-table-extra,0,0,1,0,1,1
lxhotkey,0,0,0,0,0,0
raptor2,2,0,3,2,1,7
qqwing,0,0,0,0,0,0
compiz-plugins-extra,0,0,1,1,1,2
rust-aliasable,0,0,0,1,1,1
gcolor3,0,0,1,1,1,2
robotfindskitten,0,0,1,0,1,1
soapysdr,0,0,0,2,1,2
libbs2b,1,0,0,1,1,2
thunar-vcs-plugin,0,0,0,0,0,0
bmon,0,0,1,2,1,3
aha,0,0,1,0,1,1
tcpflow,0,0,2,2,1,4
libopusenc,0,0,0,1,1,1
aeskeyfind,4,0,0,0,1,4
topcom,0,0,2,4,1,6
radeontool,0,0,0,0,0,0
t-prot,0,0,0,0,0,0
wob,0,0,0,0,0,0
hunspell-ml,0,0,0,0,0,0
