package,fedora_patch,debian_patch,type,fedora_time,debian_time
libmpd,libmpd-11.8.17-strndup.patch,ftbfs-790251.patch,common,2015-06-17 19:44:07,2023-01-31 19:48:36
libofa,libofa-0.9.3-gcc41.patch,01_gcc41.diff,common,2006-09-12 17:00:16,2015-08-25 18:05:11
libofa,libofa-0.9.3-gcc47.patch,08_fix-ftbfs-gcc4.7.diff,common,2012-01-14 21:21:54,2015-08-25 18:06:31
libofa,libofa-0.9.3-curl.patch,07_fix_ftbfs.diff,common,2011-12-01 21:31:31,2015-08-25 18:06:31
libotr,libotr-4.1.1-socket-h.patch,0006-include-socket.h.patch,common,2022-11-15 19:35:53,2022-05-12 07:06:24
libtar,libtar-1.2.11-bz729009.patch,no_strip.patch,common,2011-08-09 10:06:46,2025-01-20 09:30:28
libtar,libtar-1.2.20-CVE-2021-33643-CVE-2021-33644.patch,openEuler-CVE-2021-33643-CVE-2021-33644.patch,common,2022-08-26 13:55:09,2025-01-20 10:03:32
libtar,libtar-1.2.20-no-static-buffer.patch,no_static_buffers.patch,similar,2013-10-25 12:03:09,2025-01-20 09:30:28
libx86,libx86-fix_processor_flags.patch,01-fix_processor_flags.patch,common,2021-12-13 15:55:55,2009-03-08 18:34:09
mgetty,mgetty-1.2.1-mktemp.patch,78-insecure-tmp-usage,similar,2004-09-09 08:31:02,2024-10-17 14:32:00
mscgen,mscgen-0.20-language.patch,language.y-parse-param.patch,common,2014-06-09 09:06:04,2013-12-29 12:57:08
neuron,0012-fix-c23-ftbfs.patch,02_require-c++17.patch,similar,2025-02-12 15:41:20,2023-02-02 23:54:09
pingus,pingus-0.7.6-missing-header.patch,gcc7.patch,common,2017-01-27 11:56:48,2018-05-15 21:32:01
pingus,pingus-0.7.6-gcc470-udl.patch,20_gcc_4.7,common,2012-01-03 19:17:46,2018-05-15 21:32:01
pingus,pingus-0.7.6-python3.patch,scons-use-python3-print.patch,common,2019-08-01 19:04:39,2020-01-02 10:51:12
pingus,pingus-0.7.6-boost-169.patch,boost-1.69.patch,similar,2019-02-14 14:48:59,2023-06-24 06:00:00
plplot,plplot-qt-5.15.patch,build-against-qt-5.15.patch,common,2020-09-18 03:25:57,2020-11-05 15:53:43
plplot,plplot-5.12.0-safe-string.patch,Fix-build-with-OCaml-4.06.patch,common,2017-11-18 12:12:40,2017-11-21 14:11:10
plplot,plplot-sip-build-support.patch,sip-build-support.patch,common,2021-07-15 20:14:00,2021-06-19 06:10:28
plplot,plplot-pyqt5-sip-path.patch,pyqt5-sip-path.patch,common,2021-07-15 20:14:00,2020-10-06 04:46:01
qepcad,qepcad-B-uninit.patch,qepcad-B-uninit.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-destructor.patch,qepcad-B-destructor.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-unused.patch,qepcad-B-unused.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-tty.patch,qepcad-B-tty.patch,common,2015-09-04 02:03:08,2020-07-31 17:02:46
qepcad,qepcad-B-parens.patch,qepcad-B-parens.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-attr.patch,qepcad-B-attr.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-signed.patch,qepcad-B-signed.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-gcc6.patch,qepcad-B-gcc6.patch,common,2016-02-06 17:10:02,2020-07-31 17:02:46
qepcad,qepcad-B-return.patch,qepcad-B-return.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
qepcad,qepcad-B-syntax.patch,qepcad-B-syntax.patch,common,2014-02-14 19:17:12,2020-07-31 17:02:46
rancid,rancid-Makefile.patch,13_CFLAGS.patch,common,2009-07-27 06:15:28,2012-05-18 16:49:52
raptor,0001-CVE-2020-25713-raptor2-malformed-input-file-can-lead.patch,CVE-2020-25713-raptor2-malformed-input-file-can-lead.patch,common,2021-01-11 11:56:09,2021-12-13 21:03:02
raptor,0001-Calcualte-max-nspace-declarations-correctly-for-XML-.patch,Calculate-max-nspace-declarations-correctly-for-XML-.patch,common,2020-02-17 17:28:14,2020-11-06 21:46:38
saclib,saclib-attr.patch,saclib-attr.patch,common,2014-02-10 20:51:39,2020-07-31 11:32:14
slic3r,slic3r-boost169.patch,0006-Fix-FTBFS-with-Boost-1.71.patch,common,2019-01-29 23:41:46,2021-05-22 23:25:50
slic3r,slic3r-CVE-2020-28591.patch,Fix-CVE-2020-28591.patch,common,2021-03-18 09:25:50,2021-05-22 23:25:50
slic3r,slic3r-boost-nowide.patch,Link-against-boost-nowide-library.patch,similar,2020-06-02 22:18:42,2021-04-26 09:22:00
